Timestamp,Scenario,Controller,Throughput_Mbps,Avg_Delay_ms,PacketLoss_Ratio,p95_Delay_ms,Max_PacketLoss,Jains_Fairness,QoS_Violations,Total_Downtime_s,Congestion_Intensity,Satisfaction_Percent,Cell_Edge_Tput,Avg_SINR_dB,Avg_RSRP_dBm,Avg_HO_per_UE,Avg_Inference_ms,EnergyEfficiency_Mbps_W,Model_Params,HO_Success_Rate,Control_Stability,QoS_Score,Reliability_Score,Resource_Score,Buffer_Score,PHY_Score,Architecture_Score,Config_num_ues,Config_num_cells,Config_sim_time,Config_kpm_interval_ms,Config_system_bandwidth_mhz,Config_model_path,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Config_model_type
22-02-2026 4.22,urban_canyon,gpt2,0.125304173,14.31285097,0.019389302,52.27706675,0.29770665,0.464002355,61,0.9,0.0,0.0,0.0,-9.890808225,-138.4018995,2.4,44.92787004,21.64351618,3217939,0.0,73.102684,37.5408673794427,75.49356195127524,13.406764239449936,99.35415323413902,0.0,0.0,20,3,60.0,100,10.0,gpt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.25,mixed_reality,gpt2,1.19208055,99.58977837,0.555460088,170.2538462,0.91114005,0.500513066,590,57.8,0.0,30.0,0.0,3.84508956,-120.3401944,3.2,33.17170938,136.5436887,3217939,0.0,63.376842,38.76357161875111,49.33026918858517,20.568390881655144,81.07373322798688,32.20577576805353,0.0,20,3,60.0,100,10.0,gpt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.38,spectrum_crunch,gpt2,3.761905176,54.77419042,0.816020916,81.63678025,0.95016725,0.674318994,594,59.4,0.0,85.0,1.606972625,11.00434451,-116.8439136,0.0,22.83632218,543.9130146,3217939,1.0,73.77922,80.74655793468233,65.64007000872246,74.8690493153722,72.18841155520548,44.397088005036345,0.0,20,3,60.0,100,10.0,gpt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.43,mobility_storm,linear,2.045044903,38.30855809,0.077665477,59.39729025,0.35598745,0.694186141,351,3.2,0.0,80.0,0.0,16.46546294,-122.3249944,0.0,120.9080566,308.2720619,3217939,1.0,85.59546,72.76556602664492,95.02471128255254,34.33142653410741,97.3668915083116,47.37033042609306,0.0,20,3,60.0,100,10.0,linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.43,handover_ping_pong,linear,2.172060965,32.74788416,0.064993991,46.20616225,0.2867517,0.671289546,321,1.5,0.0,75.0,0.0,21.34143682,-120.1717217,0.0,121.1631059,306.0693934,3217939,1.0,85.80666,72.92735721687973,96.13906391600456,33.767686555698454,97.79899878263352,55.49651641449543,0.0,20,3,60.0,100,10.0,linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.44,flash_crowd,linear,1.448544625,84.76292444,0.414802235,152.4595763,0.928558,0.369121767,592,55.4,0.0,35.0,0.0,6.946911924,-118.6554951,7.6,128.8152655,152.4859484,3217939,0.0,84.08562,44.333760435406354,49.53137813102661,17.25082729141313,85.8702725977029,37.61970349831565,0.0,20,3,60.0,100,10.0,linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.45,traffic_burst,linear,1.602981652,90.48022035,0.641354716,156.935535,0.9448945,0.552274755,551,46.2,0.0,50.0,0.0,9.420434187,-118.0500534,6.35,130.4834704,103.9897866,3217939,0.0,82.28726,49.56701918345014,47.32200225038308,22.115687796651105,78.14466132718722,41.3639875093201,0.0,20,3,60.0,100,10.0,linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.47,adversarial,linear,2.159172125,40.90319483,0.144955095,120.3921072,0.94149915,0.689882227,367,7.5,0.0,80.0,0.0,21.48119581,-119.2657546,7.55,108.9843253,255.5009644,3217939,0.0,84.922775,70.13319600117137,63.22640702768912,32.73581845467493,95.07226454631645,56.384930711138125,0.0,20,3,60.0,100,10.0,linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.48,sleepy_campus,linear,1.39314907,93.96038514,0.504883375,168.1834187,0.9394782,0.529837749,581,51.6,0.0,35.0,0.0,6.409799002,-119.5835735,10.95,143.3794685,123.2643867,3217939,0.0,83.76543,42.285693080938536,46.127334265841945,21.54358832918752,82.79843746540567,36.18814360289767,0.0,20,3,60.0,100,10.0,linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.48,ambulance,linear,1.900738277,30.01157638,0.078676444,46.63554625,0.3663702,0.625115896,424,2.7,0.0,80.0,0.031998787,18.88269393,-122.3360904,3.7,131.5650078,255.3677534,3217939,0.0,87.0453,73.51597286993632,72.58937853587021,30.626631417593167,97.33241676755904,50.56140656364693,0.0,20,3,60.0,100,10.0,linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
